Frame No,Count,Type1,Color1,Type2,Color2,Question1 Time,Question2 Time,Question3 Time,Question4 Time
139,1,hatchback,Black,,,0,0.127,0.131,0.016
140,1,sedan,Black,,,0,0.125,0.152,0.0
141,1,hatchback,Black,,,0,0.203,0.152,0.016
142,2,sedan,Black,sedan,Black,0,0.136,0.273,0.031
143,2,hatchback,Black,hatchback,Black,0,0.126,0.263,0.016
144,2,hatchback,Black,hatchback,Black,0,0.137,0.303,0.031
145,1,hatchback,Black,,,0,0.12,0.093,0.016
146,2,hatchback,Black,hatchback,Black,0,0.122,0.193,0.031
147,2,hatchback,Black,hatchback,Black,0,0.121,0.191,0.031
148,1,hatchback,Black,,,0,0.124,0.093,0.0
149,1,hatchback,Black,,,0,0.122,0.131,0.031
150,1,hatchback,Black,,,0,0.121,0.125,0.016
151,1,sedan,Black,,,0,0.124,0.141,0.016
152,1,sedan,Black,,,0,0.126,0.109,0.016
153,1,hatchback,Black,,,0,0.121,0.094,0.016
154,1,hatchback,Black,,,0,0.153,0.109,0.016
155,1,hatchback,Black,,,0,0.153,0.109,0.0
156,1,hatchback,Black,,,0,0.175,0.109,0.016
157,1,sedan,Black,,,0,0.119,0.109,0.016
158,1,hatchback,Black,,,0,0.12,0.109,0.0
159,1,hatchback,Black,,,0,0.12,0.094,0.016
160,1,hatchback,Black,,,0,0.117,0.094,0.0
161,1,sedan,Black,,,0,0.105,0.125,0.016
162,1,hatchback,Black,,,0,0.102,0.078,0.0
163,0,,,,,0,0.101,,
164,0,,,,,0,0.102,,
165,0,,,,,0,0.1,,
166,0,,,,,0,0.1,,
167,0,,,,,0,0.098,,
168,0,,,,,0,0.104,,
169,0,,,,,0,0.097,,
170,0,,,,,0,0.099,,
171,0,,,,,0,0.097,,
172,0,,,,,0,0.1,,
173,0,,,,,0,0.107,,
174,0,,,,,0,0.135,,
175,0,,,,,0,0.125,,
176,0,,,,,0,0.109,,
177,0,,,,,0,0.109,,
178,0,,,,,0,0.094,,
179,0,,,,,0,0.109,,
180,0,,,,,0,0.112,,
181,0,,,,,0,0.1,,
182,0,,,,,0,0.101,,
183,0,,,,,0,0.1,,
184,0,,,,,0,0.099,,
185,0,,,,,0,0.107,,
186,0,,,,,0,0.099,,
187,0,,,,,0,0.099,,
188,0,,,,,0,0.098,,
189,0,,,,,0,0.122,,
190,0,,,,,0,0.123,,
191,0,,,,,0,0.126,,
192,0,,,,,0,0.121,,
193,0,,,,,0,0.123,,
194,0,,,,,0,0.12,,
195,0,,,,,0,0.128,,
196,0,,,,,0,0.118,,
197,0,,,,,0,0.122,,
198,0,,,,,0,0.122,,
199,0,,,,,0,0.119,,
200,0,,,,,0,0.122,,
201,0,,,,,0,0.12,,
202,0,,,,,0,0.126,,
203,0,,,,,0,0.12,,
204,0,,,,,0,0.118,,
205,0,,,,,0,0.121,,
206,0,,,,,0,0.118,,
207,0,,,,,0,0.129,,
208,0,,,,,0,0.121,,
209,0,,,,,0,0.117,,
210,0,,,,,0,0.126,,
211,0,,,,,0,0.12,,
212,0,,,,,0,0.125,,
213,0,,,,,0,0.122,,
214,0,,,,,0,0.125,,
215,0,,,,,0,0.126,,
216,0,,,,,0,0.121,,
217,0,,,,,0,0.117,,
218,0,,,,,0,0.128,,
219,0,,,,,0,0.116,,
220,0,,,,,0,0.116,,
221,0,,,,,0,0.132,,
222,0,,,,,0,0.12,,
223,0,,,,,0,0.124,,
224,0,,,,,0,0.12,,
225,0,,,,,0,0.12,,
226,0,,,,,0,0.123,,
227,0,,,,,0,0.118,,
228,0,,,,,0,0.12,,
229,0,,,,,0,0.117,,
230,0,,,,,0,0.121,,
231,0,,,,,0,0.118,,
232,0,,,,,0,0.124,,
233,0,,,,,0,0.116,,
234,0,,,,,0,0.123,,
235,0,,,,,0,0.121,,
236,0,,,,,0,0.118,,
237,0,,,,,0,0.126,,
238,0,,,,,0,0.121,,
239,0,,,,,0,0.124,,
240,0,,,,,0,0.121,,
241,0,,,,,0,0.127,,
242,0,,,,,0,0.122,,
243,0,,,,,0,0.116,,
244,0,,,,,0,0.125,,
245,0,,,,,0,0.12,,
246,0,,,,,0,0.122,,
247,0,,,,,0,0.114,,
248,0,,,,,0,0.117,,
249,0,,,,,0,0.118,,
250,0,,,,,0,0.122,,
251,0,,,,,0,0.119,,
252,0,,,,,0,0.12,,
253,0,,,,,0,0.118,,
254,0,,,,,0,0.121,,
255,0,,,,,0,0.12,,
256,0,,,,,0,0.12,,
257,0,,,,,0,0.122,,
258,0,,,,,0,0.126,,
259,0,,,,,0,0.12,,
260,0,,,,,0,0.124,,
261,0,,,,,0,0.122,,
262,0,,,,,0,0.123,,
263,0,,,,,0,0.12,,
264,0,,,,,0,0.117,,
265,0,,,,,0,0.122,,
266,0,,,,,0,0.122,,
267,0,,,,,0,0.126,,
268,0,,,,,0,0.119,,
269,0,,,,,0,0.123,,
270,0,,,,,0,0.12,,
271,0,,,,,0,0.123,,
272,0,,,,,0,0.12,,
273,0,,,,,0,0.124,,
274,0,,,,,0,0.131,,
275,0,,,,,0,0.12,,
276,0,,,,,0,0.118,,
277,0,,,,,0,0.122,,
278,0,,,,,0,0.12,,
279,0,,,,,0,0.122,,
280,0,,,,,0,0.113,,
281,0,,,,,0,0.097,,
282,0,,,,,0,0.106,,
283,0,,,,,0,0.101,,
284,0,,,,,0,0.099,,
285,0,,,,,0,0.099,,
286,0,,,,,0,0.101,,
287,0,,,,,0,0.099,,
288,0,,,,,0,0.141,,
289,0,,,,,0,0.141,,
290,0,,,,,0,0.141,,
291,0,,,,,0,0.156,,
292,0,,,,,0,0.125,,
293,0,,,,,0,0.136,,
294,0,,,,,0,0.138,,
295,0,,,,,0,0.119,,
296,0,,,,,0,0.094,,
297,0,,,,,0,0.094,,
298,0,,,,,0,0.109,,
299,0,,,,,0,0.094,,
300,0,,,,,0,0.115,,
301,0,,,,,0,0.106,,
302,0,,,,,0,0.103,,
303,0,,,,,0,0.101,,
304,0,,,,,0,0.097,,
305,0,,,,,0,0.12,,
306,0,,,,,0,0.118,,
307,0,,,,,0,0.123,,
308,0,,,,,0,0.122,,
309,0,,,,,0,0.113,,
310,0,,,,,0,0.109,,
311,0,,,,,0,0.125,,
312,0,,,,,0,0.125,,
313,0,,,,,0,0.125,,
314,0,,,,,0,0.109,,
315,0,,,,,0,0.125,,
316,0,,,,,0,0.109,,
317,0,,,,,0,0.134,,
318,0,,,,,0,0.116,,
319,0,,,,,0,0.122,,
320,0,,,,,0,0.124,,
321,0,,,,,0,0.123,,
322,0,,,,,0,0.121,,
323,0,,,,,0,0.122,,
324,0,,,,,0,0.121,,
325,0,,,,,0,0.121,,
326,0,,,,,0,0.121,,
327,0,,,,,0,0.125,,
328,0,,,,,0,0.124,,
329,0,,,,,0,0.123,,
330,0,,,,,0,0.121,,
331,0,,,,,0,0.121,,
332,0,,,,,0,0.117,,
333,0,,,,,0,0.124,,
334,0,,,,,0,0.121,,
335,0,,,,,0,0.124,,
336,0,,,,,0,0.125,,
337,0,,,,,0,0.123,,
338,0,,,,,0,0.122,,
339,0,,,,,0,0.122,,
340,0,,,,,0,0.12,,
341,0,,,,,0,0.12,,
342,0,,,,,0,0.12,,
343,0,,,,,0,0.125,,
344,0,,,,,0,0.116,,
345,0,,,,,0,0.123,,
346,0,,,,,0,0.123,,
347,0,,,,,0,0.123,,
348,0,,,,,0,0.125,,
349,0,,,,,0,0.121,,
350,0,,,,,0,0.127,,
351,0,,,,,0,0.121,,
352,0,,,,,0,0.119,,
353,0,,,,,0,0.125,,
354,0,,,,,0,0.124,,
355,0,,,,,0,0.118,,
356,0,,,,,0,0.119,,
357,0,,,,,0,0.121,,
358,0,,,,,0,0.125,,
359,0,,,,,0,0.123,,
360,0,,,,,0,0.117,,
361,0,,,,,0,0.122,,
362,0,,,,,0,0.12,,
363,0,,,,,0,0.121,,
364,0,,,,,0,0.123,,
365,0,,,,,0,0.124,,
366,0,,,,,0,0.119,,
367,0,,,,,0,0.125,,
368,0,,,,,0,0.122,,
369,0,,,,,0,0.121,,
370,0,,,,,0,0.126,,
371,0,,,,,0,0.118,,
372,0,,,,,0,0.121,,
373,0,,,,,0,0.124,,
